,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,Efficiency,Rank
$A_{1}$,0.11642725341666799,0.06070965632446407,0.00848761509419543,0.05355526286588518,0.05489592690472214,0.07130449698438417,0.0350834650551115,0.0716124417369152,0.04576775232172859,0.04640680731424308,0.556542287144875,11.0
$A_{2}$,0.013646087058811448,0.10137367140971831,0.01065016836532185,0.008033289429882774,0.0,0.03301134119647415,0.058320565286419115,0.0416987774073831,0.029035455773999862,0.017030021032749757,0.36028940463602743,25.0
$A_{3}$,0.08826405246550392,0.0721643084611554,0.01124636099645946,0.05087749972259092,0.03358339057700648,0.035982361904156816,0.07791263018732554,0.07058629732644268,0.08267723000054196,0.069823086234274,0.5726311255430261,7.0
$A_{4}$,0.10394253546924473,0.03722761944424683,0.03397756004183342,0.08301065744212204,0.062000105680627346,0.0660226823929483,0.04328479454851419,0.0870667984643346,0.03887798315501677,0.07110033781173024,0.606582659622376,5.0
$A_{5}$,0.1103300655818799,0.0028636630341728328,0.008661052950526374,0.07899401272718064,0.056187595773068526,0.09111130170226865,0.056498047621218524,0.09184614379432322,0.02854332940494901,0.047258308365880575,0.5481270548192141,12.0
$A_{6}$,0.0926191866332097,0.10538279965756027,0.057315791584365686,0.07631624958388637,0.09558349625763382,0.031855944254597555,0.04829671812781582,0.0792463342451274,0.05167326875033873,0.07152608833754896,0.6806846165189467,3.0
$A_{7}$,0.12368581036284429,0.10538279965756027,0.029581994370446143,0.09104394687200482,0.06975011889070576,0.043079800261398765,0.05421990053971778,0.03770303326357346,0.043307120476474364,0.06556558097608656,0.6331308371705804,4.0
$A_{8}$,0.04964852951184595,0.03951854987158511,0.01535467021829863,0.042844210292708136,0.03552089387952609,0.01568038706832522,0.05421990053971778,0.08784418059348044,0.037401604047864224,0.031079788384768308,0.4194355016103379,24.0
$A_{9}$,0.11584656886097389,0.07159157585432084,0.008162419113574916,0.07899401272718064,0.05037508586550972,0.03829315578791002,0.044196053381114486,0.07730287892226279,0.029527582143050707,0.05364456625316173,0.5600810693676399,10.0
$A_{10}$,0.11062040785972693,0.0532641324356147,0.022666159849249867,0.06426631543906222,0.059416767943934544,0.05743973368186501,0.05877619470271926,0.06592200455156762,0.03641735130976254,0.04044629995278067,0.5649443800255728,9.0
$A_{11}$,0.021194986282834814,0.10538279965756027,0.01602132197857068,0.03079427614788398,0.023250039630235263,0.030865604018703325,0.0646993771146212,0.0,0.031496087619254085,0.09153636305102994,0.43474561084192853,23.0
$A_{12}$,0.05080989862323416,0.0841916932046813,0.0031110415479362573,0.05757190758082657,0.029062549537794077,0.06585762568696593,0.04738545929521554,0.03529314866322135,0.04183074136932183,0.06301107782117409,0.4754629821766069,20.0
$A_{13}$,0.010452322002493868,0.07731890192266651,0.04602607112382349,0.03614980243447249,0.04843758256299011,0.04869172826479937,0.02323710023130761,0.09606888351984347,0.03838585678596591,0.07706084517319264,0.4913151179613614,19.0
$A_{14}$,0.06648838162697498,0.07617343670899737,0.035966675456628905,0.03882756557776675,0.05489592690472214,0.06305166168526562,0.04738545929521554,0.060480329647546696,0.0,0.08940761042193622,0.5247898407606367,16.0
$A_{15}$,0.11236246152680925,0.036654886837412276,0.007495767353302863,0.0816717758704749,0.06070843681228095,0.06173120803740665,0.041006647467013435,0.09344133192333051,0.0393701095240676,0.055347568356436706,0.5701958450284661,8.0
$A_{16}$,0.07403728085099834,0.09679181055504177,0.02084506235777498,0.0455219734360024,0.03358339057700648,0.04027383625969846,0.009568217742303129,0.0675700546653568,0.09350401011966057,0.08046684937974259,0.5460588978495919,13.0
$A_{17}$,0.11904033391729146,0.0,0.0016259799031025726,0.08301065744212204,0.059416767943934544,0.07493574451599631,0.044196053381114486,0.09732824256905974,0.024606318452542256,0.03363429153968076,0.5266813005861539,15.0
$A_{18}$,0.08913507929904506,0.04066401508525424,0.01697523018839086,0.06560519701070934,0.04908341699716332,0.07708148169376713,0.0683444124450224,0.0977635765613814,0.06692918619091494,0.06726858307936152,0.6062772217122397,6.0
$A_{19}$,0.02380806678345828,0.08018256495683934,0.01120842146538707,0.025438749861295455,0.001937503302519609,0.03730281555201579,0.061965600616820306,0.05768175398262167,0.04872051053603367,0.08429860411211128,0.43947686936646124,22.0
$A_{20}$,0.10539424685848,0.022336571666548108,0.014211064353116488,0.03882756557776675,0.06781261558818616,0.028719866840932504,0.0,0.07422444569084523,0.011318906488169432,0.07450634201828019,0.4614076642208553,21.0
$A_{21}$,0.0,0.04810953897410361,0.005501232005497038,0.0,0.020666701893542465,0.0,0.0683444124450224,0.01741335969286692,0.057578785178948884,0.06215957676953661,0.3284798723487708,26.0
$A_{22}$,0.0992970590236919,0.06930064542698257,0.010742307226497666,0.06292743386741508,0.02777088066944767,0.07873204875359084,0.017313917819405663,0.04975245626533406,0.019685054762033805,0.0689715851826365,0.5075320908780918,18.0
$A_{23}$,0.03397004650810511,0.09220994970036524,0.01110544273819057,0.06158855229576796,0.03745839718204569,0.0445653106152401,0.08520270084812794,0.04477721063880065,0.08267723000054196,0.07918959780228638,0.542270039712443,14.0
$A_{24}$,0.11062040785972693,0.0790370997431702,0.10952058633997894,0.0776551311555335,0.09364599295511422,0.05281814591435864,0.09249277150893032,0.07478416082383024,0.03297246672640663,0.0757835935957364,0.7552646294693137,1.0
$A_{25}$,0.08768336790980981,0.0549823302561184,0.09734741679875102,0.09907723630188758,0.08912515191590181,0.057934903799812136,0.07927951843622599,0.09033180340674714,0.04084648863122014,0.04768405889169932,0.708976425029325,2.0
$A_{26}$,0.11904033391729146,0.038945817264750535,0.0,0.09104394687200482,0.06070843681228095,0.05380848615025286,0.03098280030841015,0.09810562469820558,0.015748043809627042,0.0,0.5129660365196202,17.0
Weights,0.12368581036284429,0.10538279965756027,0.10952058633997894,0.09907723630188758,0.09558349625763382,0.09111130170226865,0.09249277150893032,0.09810562469820558,0.09350401011966057,0.09153636305102994,,
Types,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,,
